Designator,Package,Mid X,Mid Y,Layer,Rotation,Comment
LED82,SK6805-1515,-78.63,217.131,Front,314.9,SK6805-1515 LED
LED83,SK6805-1515,-77.721,216.223,Front,314.9,SK6805-1515 LED
LED84,SK6805-1515,-76.813,215.314,Front,314.9,SK6805-1515 LED
LED85,SK6805-1515,-94.132,232.634,Front,314.9,SK6805-1515 LED
LED86,SK6805-1515,-92.026,230.527,Front,315,SK6805-1515 LED
LED87,SK6805-1515,-89.924,228.416,Front,315.1,SK6805-1515 LED
LED88,SK6805-1515,94.222,86.067,Front,269.9,SK6805-1515 LED
LED89,SK6805-1515,-70.114,208.616,Front,314.9,SK6805-1515 LED
LED90,SK6805-1515,-69.188,207.689,Front,314.9,SK6805-1515 LED
LED91,SK6805-1515,-68.261,206.763,Front,314.9,SK6805-1515 LED
LED92,SK6805-1515,-67.335,205.837,Front,314.9,SK6805-1515 LED
LED93,SK6805-1515,-66.409,204.91,Front,314.9,SK6805-1515 LED
LED94,SK6805-1515,-65.482,203.984,Front,314.9,SK6805-1515 LED
LED95,SK6805-1515,-64.556,203.058,Front,314.9,SK6805-1515 LED
LED96,SK6805-1515,-63.63,202.131,Front,314.9,SK6805-1515 LED
LED97,SK6805-1515,-62.704,201.205,Front,314.9,SK6805-1515 LED
LED98,SK6805-1515,-75.561,214.098,Front,315.6,SK6805-1515 LED
LED99,SK6805-1515,-73.458,211.963,Front,315.2,SK6805-1515 LED
LED100,SK6805-1515,-71.345,209.838,Front,315.1,SK6805-1515 LED
LED101,SK6805-1515,108.923,180.539,Front,134.1,SK6805-1515 LED
LED102,SK6805-1515,-55.96,194.462,Front,314.9,SK6805-1515 LED
LED103,SK6805-1515,-55.013,193.515,Front,314.9,SK6805-1515 LED
LED104,SK6805-1515,-54.066,192.568,Front,314.9,SK6805-1515 LED
LED105,SK6805-1515,-53.119,191.621,Front,314.9,SK6805-1515 LED
LED106,SK6805-1515,-52.173,190.674,Front,314.9,SK6805-1515 LED
LED107,SK6805-1515,-51.226,189.727,Front,314.9,SK6805-1515 LED
LED108,SK6805-1515,-50.279,188.781,Front,314.9,SK6805-1515 LED
LED109,SK6805-1515,-49.332,187.834,Front,314.9,SK6805-1515 LED
LED110,SK6805-1515,-61.38,199.873,Front,314.8,SK6805-1515 LED
LED111,SK6805-1515,-59.269,197.77,Front,314.9,SK6805-1515 LED
LED112,SK6805-1515,-57.162,195.664,Front,314.9,SK6805-1515 LED
LED113,SK6805-1515,102.807,186.465,Front,134.2,SK6805-1515 LED
LED114,SK6805-1515,-42.443,180.945,Front,314.9,SK6805-1515 LED
LED115,SK6805-1515,-41.465,179.967,Front,314.9,SK6805-1515 LED
LED116,SK6805-1515,-40.487,178.989,Front,314.7,SK6805-1515 LED
LED117,SK6805-1515,-39.444,178.081,Front,307.2,SK6805-1515 LED
LED118,SK6805-1515,-38.293,177.318,Front,299.8,SK6805-1515 LED
LED119,SK6805-1515,-48.004,186.514,Front,315.1,SK6805-1515 LED
LED120,SK6805-1515,-45.887,184.39,Front,315,SK6805-1515 LED
LED121,SK6805-1515,-43.768,182.27,Front,314.9,SK6805-1515 LED
LED122,SK6805-1515,96.587,192.307,Front,133.6,SK6805-1515 LED
LED123,SK6805-1515,-28.524,176.675,Front,270,SK6805-1515 LED
LED124,SK6805-1515,-27.182,176.675,Front,270,SK6805-1515 LED
LED125,SK6805-1515,-25.84,176.675,Front,270,SK6805-1515 LED
LED126,SK6805-1515,-24.498,176.675,Front,270,SK6805-1515 LED
LED127,SK6805-1515,-23.156,176.675,Front,270,SK6805-1515 LED
LED128,SK6805-1515,-21.814,176.675,Front,270,SK6805-1515 LED
