Qty,MPN,Supplier,Reference,Value,Package,Type,Notes,Link
1140,SMD0805-0R,Any,LED1-LED1140,,SK6805-1515,SMD,,http://www.normandled.com/upload/201903/SK6805-1515%20LED%20Datasheet.pdf
1,,,U1,DNP,,,"DNP, no need to purcahse it",
